	0	1	2	3	4	5	6	7	8	9
chaufe	0	0	0	0	0	0	0	0	1	0
skiisache	0	0	0	0	0	0	0	0	0	1
merci	3	1	0	0	0	0	0	1	0	0
emojiQsparklingHeart	0	1	0	0	2	2	1	0	1	2
heeii	0	0	0	2	0	0	0	0	0	0
Salii	0	0	0	0	0	0	0	1	0	0
pisch	0	0	0	0	0	0	0	0	0	1
[LastName]	0	3	0	1	1	1	0	1	1	1
em	0	1	5	0	0	1	0	4	2	2
emojiQblueHeart	0	0	0	0	0	0	0	0	0	1
hetter	0	1	0	0	0	0	0	0	0	1
chent	0	0	0	1	0	0	0	0	0	0
si	8	7	4	5	4	4	3	2	2	3
wers	0	0	0	0	0	0	1	0	0	1
iwüsst	0	0	0	0	0	0	0	1	0	0
wenn	4	0	3	6	7	4	4	3	2	2
gemein	1	0	1	0	1	0	0	0	1	0
Tueter	0	0	0	1	0	0	0	0	0	0
ufzhöre	0	0	0	0	1	0	0	0	0	0
lerne	0	0	0	0	0	2	0	0	0	0
muess	0	1	1	1	1	0	2	2	2	0
no	5	6	10	6	7	3	6	10	8	14
segi	0	1	0	0	0	0	0	0	0	0
nechstmal	0	0	1	0	0	0	0	0	0	0
emojiQgrowingHeart	0	0	0	1	0	0	2	0	1	0
emojiQpurpleHeart	0	0	0	0	0	0	0	0	2	0
emojiQfaceThrowingAKiss	0	0	2	2	10	6	6	1	3	7
bestande	1	0	0	0	0	0	0	0	0	0
iedefalls	0	0	0	0	1	0	0	0	0	0
staht	0	0	0	0	0	0	0	0	1	0
denkey	1	0	0	0	0	0	1	0	0	0
ihrs	0	0	0	0	1	0	0	0	0	0
verstecktdass	0	0	0	0	0	1	0	0	0	0
bimir	0	0	0	0	0	0	1	0	0	0
scherz	0	0	0	0	0	0	0	1	0	0
tiphaine	0	0	0	0	0	0	0	0	0	1
....	0	1	1	1	1	2	3	0	1	2
mach	1	0	1	1	1	1	0	1	1	1
enttüscht	1	0	0	1	0	0	0	0	0	0
egal	0	0	1	0	0	1	0	0	1	0
rede	1	0	0	0	0	0	1	1	0	1
drübere	0	1	0	0	0	0	0	0	0	0
