	dass	dfcp
nacht	4.0	
weniger	4.0	
Bisch	4.0	
emojiQfaceWithOpenMouthAndColdSweat	4.0	
redactedQ11tokens56characters	4.0	
gibt	4.0	
alti	4.0	
nomol	4.0	
bemerkt	4.0	
emojiQloudlyCryingFace	4.0	1.0
o	4.0	
emojiQsmilingFaceWithOpenMouthAndColdSweat	4.0	
hätte	4.0	
bös	4.0	
hahahaha	4.0	
redactedQ4tokens24characters	4.0	
3.	4.0	
Etzt	4.0	
beste	4.0	1.0
nr	4.0	
Moment	4.0	
miar	4.0	
handy	4.0	
Gell	4.0	
chrank	4.0	
send	4.0	
eini	4.0	
mitem	4.0	
würdsch	4.0	
redactedQ7tokens34characters	4.0	
chansch	4.0	
geilsten	4.0	
Hahahaha	4.0	
keine	4.0	
Hmm	4.0	
dihei	4.0	
echt	4.0	
bruucht	4.0	
kauft	4.0	
Zeit	4.0	
redactedQ5tokens19characters	4.0	
schwul	4.0	
för	4.0	
:'D	4.0	
best	4.0	
weekend	4.0	
konzert	4.0	
super	4.0	
ka	4.0	
online	3.0	
schatz	3.0	
einen	3.0	
schlecht	3.0	
game	3.0	
Lieb	3.0	
öppe	3.0	
witer	3.0	
langsam	3.0	
tuesch	3.0	
merci	3.0	
wirsh	3.0	
anders	3.0	
redactedQ15tokens77characters	3.0	
amene	3.0	
chunnsch	3.0	
zwei	3.0	
sött	3.0	
machsh	3.0	
miir	3.0	
muskel	3.0	
Besser	3.0	
dur	3.0	
scheiss	3.0	
hätt	3.0	
bruchsch	3.0	
flughafe	3.0	
wohnig	3.0	
Min	3.0	
Hesch	3.0	1.0
omg	3.0	
iss	3.0	
emojiQrelievedFace	3.0	
drü	3.0	
sig	3.0	
emojiQclappingHandsSign	3.0	
eventuell	3.0	
wör	3.0	
gschickt	3.0	
wirde	3.0	
hetti	3.0	
cool	3.0	
mail	3.0	
ahlüte	3.0	
chund	3.0	
redactedQ7tokens33characters	3.0	
schluss	3.0	
use	3.0	
eigentli	3.0	
Doch	3.0	
schribt	3.0	
redactedQ5tokens27characters	3.0	
genauso	3.0	
schribe	3.0	
redactedQ5tokens26characters	3.0	
diä	3.0	
wünsch	3.0	1.0
danka	3.0	
gosch	3.0	
ad	3.0	
hetter	3.0	
öb	3.0	
glück	3.0	
hat	3.0	
früener	3.0	
läbba	3.0	
waish	3.0	
gnoh	3.0	
redactedQ15tokens80characters	3.0	
wia	3.0	
stoht	3.0	
epis	3.0	
wirklich	3.0	
deheime	3.0	
mâche	3.0	
Weiss	3.0	
well	3.0	
sus	3.0	
obig	3.0	
züri	3.0	
marguerite	3.0	
nächst	3.0	
emojiQgrimacingFace	3.0	
ine	3.0	
t	3.0	
gnueg	3.0	
müeh	3.0	
redactedQ11tokens63characters	3.0	
schwarz	3.0	
ir	3.0	
wend	3.0	
eppis	3.0	
keis	3.0	
schicksch	3.0	
vell	3.0	
aspreche	3.0	
redactedQ8tokens33characters	3.0	
ehr	3.0	
Ka	3.0	
wers	3.0	
okay	3.0	
mached	3.0	
morgen	3.0	
Hoii	3.0	
morge	3.0	1.0
wiit	3.0	
kann	3.0	
druff	3.0	
liit	3.0	
redactedQ6tokens30characters	3.0	
ander	3.0	
under	3.0	
würed	3.0	
whatsapp	3.0	
Danke	3.0	
ch	3.0	
redactedQ10tokens51characters	3.0	
fehlt	3.0	
redactedQ8tokens42characters	3.0	
nummer	3.0	
Aso	3.0	1.0
ziehst	3.0	
angst	3.0	
arm	3.0	
häsch	3.0	
Dass	3.0	
halbi	3.0	
schleifen	3.0	
Diamanten	3.0	
demfall	3.0	
mue	3.0	
neu	3.0	
gfunde	3.0	
würkli	3.0	
kurs	3.0	
jetz	3.0	
information	3.0	
redactedQ6tokens26characters	3.0	
firma	3.0	
xeit	3.0	
chani	3.0	
chunsch	3.0	
austrainierter	3.0	
zwischendurch	3.0	
musste	3.0	
Beine	3.0	
redactedQ1tokens12characters	3.0	
